keys,en,ne
welcome,Welcome,स्वागत छ 
hiUser,Hi {name}!,नमस्ते {name}!
enterYourLoginDetails,Enter your details to login,तपाईंको लगइन विवरणहरू प्रविष्ट गर्नुहोस्
mobile_number,Mobile number ,मोबाइल नम्बर
next,Next ,अर्को
skip,Skip ,छोड्नुहोस्
iAlreadyHaveAnAccount,I already have an account ,मसँग पहिले नै खाता छ
register,Register ,दर्ता गर्नुहोस्
password,Password ,पासवर्ड
or,OR,अथवा
forgetPassword,Forget password,पासवर्ड बिर्सनुभयो
rememberMe,Remember me ,मलाई सम्झनुहोस्
login,Login,लग - इन
fingerprintLogin,Fingerprint login ,फिंगरप्रिन्ट लगइन
dont_have_an_account,Don't have an account ,खाता छैन
account_locked,Account locked ,खाता बन्द 
your_account_has_been_locked,Your account has been locked due to many invalid attempt. please contact us for reactivate your account,तपाईंको खाता धेरै अवैध प्रयासको कारण लक गरिएको छ। कृपया तपाईंको खाता पुनः सक्रिय गर्न हामीलाई सम्पर्क गर्नुहोस्
contact,Contact ,सम्पर्क गर्नुहोस्
error,Error,त्रुटि
incorrect_mobile_number_or_password,Incorrect mobile number or password,गलत मोबाइल नम्बर वा पासवर्ड
remaining_attempt,Remaining attempt,बाकी प्रयास
try_again,Try again,पुन:प्रयास गर्नुहोस्
confirm_login_with_fingerprint,confirm login with fingerprint ,फिंगरप्रिन्टको साथ लगइन पुष्टि गर्नुहोस्
touch_the_fingerprint_sensor,Touch the fingerprint sensor ,फिंगरप्रिन्ट सेन्सर छुनुहोस्
use_PIN,use PIN,पिन प्रयोग गर्नुहोस्
did_you_forget_your_password,Did you forget your password ?,के तपाईंले आफ्नो पासवर्ड बिर्सनुभयो?
enter_your_mobile_number,Enter the mobile number you've used to register with us and we will send you the OTP verification code shortly,तपाईंले दर्ता गर्न प्रयोग गर्नुभएको मोबाइल नम्बर प्रविष्ट गर्नुहोस् र हामी तपाईंलाई छिट्टै OTP प्रमाणीकरण कोड पठाउने छौँ।
get_code,Get code ,कोड प्राप्त गर्नुहोस्
otp_verification,OTP verification,ओटीपी प्रमाणिकरण
we_have_sent_an_OTP,we have sent an OTP code to your mobile number ,हामीले तपाईंको मोबाइल नम्बरमा OTP कोड पठाएका छौं
didnt_receive_code,Didn't receive code? request again in ,कोड प्राप्त गरेन? फेरि अनुरोध गर्नुहोस्
set_your_new_password,set your new password ,कोड प्राप्त गर्नुभएन? पुन:अनुरोध गर्नुहोस्
this_password_is_used_for_account_login,This password is used for your account login only,यो पासवर्ड तपाईको खाता लगइनको लागि मात्र प्रयोग गरिन्छ
new_password,New password,नया पासवर्ड
retype_password,Re-Type password,पासवर्ड पुन: लेख्नुहोस
verify,verify ,प्रमाणित गर्नुहोस्
save,save ,सुरक्षित गर्नुहोस्
success,success,सफल भयो 
you_have_change_your_password,you have successfully change your Namaste Pay password ,तपाईंले सफलतापूर्वक आफ्नो नमस्ते पे पासवर्ड परिवर्तन गर्नुभयो
login_to_resume,login to resume your journey,तपाईंको यात्रा पुनः सुरु गर्न लगईन गर्नुहोस्
log_back_in,log back in,पुन:लगइन गर्नुहोस्
choose_from_saved_account_or_create_one,choose from saved account or create one,बचत गरिएको खाताबाट छनौट गर्नुहोस् वा सिर्जना गर्नुहोस्
login_another_account,login another account ,अर्को खाता लगइन गर्नुहोस्
create_account,create account,खाता सिर्जना गर्नुहोस्
enter_your_number,Enter your mobile number to get started ,सुरू गर्न तपाईंको मोबाइल नम्बर प्रविष्ट गर्नुहोस्
referrer_code,Referrer code (optional),रेफरर कोड (वैकल्पिक)
i_accept_the_terms_and_conditions,I accept the terms & conditions and privacy policy,"म नियम, सर्त र गोपनीयता नीति स्वीकार गर्छु"
create_account,create ,सिर्जना गर्नुहोस्
i_already_have_an_account_login,I already have an account? Login,मसँग पहिले नै खाता छ? लग - इन गर्नुहोस्
incorrect_mobile_number,Incorrect mobile number ,गलत मोबाइल नम्बर
personal_details,Personal Details,व्यक्तिगत विवरण
fill_your_personal_details,Fill your personal details ,तपाईंको व्यक्तिगत विवरणहरू भर्नुहोस्
first_name,First name ,पहिलो नाम
middle_name,Middle name(optional),मध्य नाम (वैकल्पिक)
last_name,Last name,थर
date_of_birth,Date of birth,जन्म मिति
gender,Gender,लिङ्ग
select_your_gender,Select your gender,आफ्नो लिङ्ग चयन गर्नुहोस्
male,Male ,पुरुष
female,Female,स्त्री
others,Others,अन्य 
address_details,Address Details ,ठेगाना विवरण
fill_your_address_details,Fill your address details ,तपाईंको ठेगाना विवरणहरू भर्नुहोस्
province,Province,प्रदेश
district,District ,जिल्ला
municipality,Municipality ,नगरपालिका
ward_no,Ward no.,वडा नं.
current_address,Current Address(optional),हालको ठेगाना (वैकल्पिक)
set_your_password,Set your password,तपाईंको पासवर्ड सेट गर्नुहोस्
wow_you_have_created_your_namaste_pay_account,wow! you have successfully created your Namaste pay account ,वाह! तपाईंले सफलतापूर्वक आफ्नो नमस्ते पे खाता सिर्जना गर्नुभयो
lets_start_your_journey,Let's start your journey ,तपाईंको यात्रा सुरु गरौं
wallet_balance,wallet balance ,वालेट ब्यालेन्स
quick_access,Quick access,चाँडै पहुँच
available_services,Available services,उपलब्ध सेवाहरू
ticketing_and_events_services,Ticketing and events services ,टिकट र समारोह सेवाहरू
set_up_your_PIN,set up your PIN,आफ्नो पिन सेट अप गर्नुहोस्
set_up,set up ,स्थापित गर्नु
service_search,service search ,सेवाको खोजी
bank_search,bank search ,बैंक खोज
select_bank,select bank,बैंक चयन गर्नुहोस्
savingAccount,saving account ,बचत खाता
kycUnverified,KYC unverified,KYC अप्रमाणित
lastLogin,last login,अन्तिम लगइन/ पछिल्लो लगइन
yourKYCIsPending,Your KYC is pending,तपाईंको KYC विचाराधीन छ
upgradeYourAccount,Upgrade your account to unlock additional benefits ,अतिरिक्त लाभहरू अनलक गर्न आफ्नो खाता अपग्रेड गर्नुहोस्
addNominee,Add nominee,Nomineee थप्नुहोस्
generalSettings,General settings,सामान्य सेटिङहरू
chooseLanguageTheme,"Choose language,theme and notification setting","भाषा, विषयवस्तु र सूचना सेटिंग छनौट गर्नुहोस्"
securitySettings,security settings ,सुरक्षा सेटिङहरू
changePinAndFingerprint,change PIN and fingerprint authentication ,पिन र फिंगरप्रिन्ट प्रमाणीकरण परिवर्तन गर्नुहोस्
deviceAndCredentials,Device and credentials ,उपकरण र प्रमाणहरू
manageYourDeviceCredentials,Manage your device credentials,तपाईंको उपकरण प्रमाणहरू व्यवस्थापन गर्नुहोस्
kycVerified,KYC verified,KYC प्रमाणित
addThirdPerson,add a third person of your account in case of unexpected events,अप्रत्याशित घटनाहरूको मामलामा तपाईंको खाताको तेस्रो व्यक्ति थप्नुहोस्
viewNominee,View nominee,मनोनित व्यक्ति हेर्नुहोस्
viewYourNominee,view your nominee details,मनोनित व्यक्तिको बिस्तृत विवरण हेर्नुहोस
kycDocument,KYC document,KYC कागजात
